trading_date,overnight_return,morning_return,signal_payoff,accuracy_denominator,correct,day_session_minute_coverage,source_file_sha256,transform_version
2020-02-26,-0.018963200707756055,-0.0018034269991506827,-0.0018034269991506827,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-27,-0.00470378289164284,-0.01015466245937526,-0.01015466245937526,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-02-28,-0.024036285430537766,-0.007513536168535768,-0.007513536168535768,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-02,-0.013371736965889308,0.023049612572843357,0.023049612572843357,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-03,0.013815932207063104,-0.005597029536717908,0.005597029536717908,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-04,-0.007648220838256845,0.015002067286864523,0.015002067286864523,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-05,0.010579621424868324,-0.003279459486373447,0.003279459486373447,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-06,-0.017490400959778756,-0.006698589640947966,-0.006698589640947966,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-09,-0.03772171623324897,-0.013915468061974558,-0.013915468061974558,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-10,-0.00848879695533498,0.01053588057705987,0.01053588057705987,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-11,-0.006346004289748796,-0.004082679822495507,-0.004082679822495507,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-12,-0.01323835037689485,-0.028895317144312885,-0.028895317144312885,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
